src,dst,proto,length,timestamp,src_port,dst_port,conn_state,DNS,connection_duration
10.0.0.66,10.0.0.1,TCP,54,1135111323.608991,42542.0,6699.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.609073,559.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.609142,6699.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.609229,42542.0,932.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.609329,42542.0,11371.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.609429,42542.0,249.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.609459,932.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.609523,11371.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.609637,42542.0,716.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.609684,249.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.609773,716.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.60986,42542.0,4333.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.60996,42542.0,1354.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.610031,4333.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.610068,1354.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.610186,42542.0,278.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.610285,42542.0,1439.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.610333,278.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.610417,1439.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.610507,42542.0,3000.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.610606,42542.0,13782.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.610672,3000.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.61075,13782.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.610833,42542.0,4444.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.610966,42542.0,1440.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.611041,4444.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.611071,1440.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.611198,42542.0,2007.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.611299,42542.0,1488.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.611403,2007.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.611431,1488.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.611523,42542.0,82.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.611621,42542.0,1668.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.611667,82.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.611785,42542.0,2627.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.611832,1668.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.611944,42542.0,951.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.611975,2627.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.612102,951.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.612185,42542.0,419.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.612284,42542.0,479.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.612322,419.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.61241,479.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.6125,42542.0,44442.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.6126,42542.0,400.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.612651,44442.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.612743,400.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.612826,42542.0,1993.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.612925,42542.0,848.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.613026,1993.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.613098,848.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.613183,42542.0,3462.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.613282,42542.0,1494.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.613327,3462.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.613415,1494.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.613505,42542.0,147.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.613735,147.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.614695,42542.0,3372.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.614798,42542.0,6145.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.614899,42542.0,830.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.614979,3372.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.615076,42542.0,6050.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.6151,6145.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.615155,830.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.615245,6050.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.615348,42542.0,965.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.615449,42542.0,580.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.615496,965.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.615607,42542.0,595.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.615625,580.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.615757,595.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.615837,42542.0,571.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.615936,42542.0,270.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.616031,571.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.616067,270.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.616175,42542.0,365.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.616274,42542.0,1986.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.616313,365.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.616406,1986.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.616495,42542.0,17300.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.616629,42542.0,561.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.616724,17300.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.616802,42542.0,3632.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.616895,561.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.616972,42542.0,885.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.61699,3632.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.617075,885.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.617202,42542.0,963.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.617302,42542.0,1424.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.617348,963.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.617435,1424.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.617524,42542.0,1445.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.617624,42542.0,683.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.617675,1445.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.617783,42542.0,379.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.617802,683.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.617894,379.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.618001,42542.0,2019.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.618111,42542.0,633.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.618147,2019.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.618269,42542.0,941.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.618311,633.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.618397,941.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.618484,42542.0,3052.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.618584,42542.0,442.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.618684,42542.0,1458.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.618707,3052.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.61874,442.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.618818,1458.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.618957,42542.0,2002.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.619067,42542.0,1389.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.619105,2002.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.61919,1389.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.619284,42542.0,974.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.619383,42542.0,2043.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.61945,974.0,42542.0,RST-ACK,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.619526,2043.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.619608,42542.0,895.0,SYN,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.619709,42542.0,1385.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.619751,895.0,42542.0,RST-ACK,,0.0
10.0.0.66,10.0.0.1,TCP,54,1135111323.619868,42542.0,122.0,SYN,,0.0
10.0.0.1,10.0.0.66,TCP,60,1135111323.619897,1385.0,42542.0,RST-ACK,,0.0
