src,dst,proto,length,timestamp,src_port,dst_port,conn_state,duration,DNS
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901788,63805,24552,S0,0.0,
192.168.202.79,192.168.229.252,tcp,0,1970-01-01 00:00:01.331901788,63805,39660,REJ,0.04,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901788,63806,63766,S0,0.0,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901788,63805,20249,REJ,0.04,
192.168.202.79,192.168.229.101,tcp,0,1970-01-01 00:00:01.331901788,63805,57761,REJ,0.01,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901789,63805,49799,S0,0.0,
192.168.202.79,192.168.229.252,tcp,0,1970-01-01 00:00:01.331901789,63805,59673,REJ,0.05,
192.168.202.79,192.168.229.252,tcp,0,1970-01-01 00:00:01.331901789,63805,7362,REJ,0.05,
192.168.202.79,192.168.229.252,tcp,0,1970-01-01 00:00:01.331901789,63805,42363,REJ,0.05,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901789,63805,10790,S0,0.0,
192.168.202.79,192.168.229.1,tcp,0,1970-01-01 00:00:01.331901789,63805,12757,REJ,0.0,
192.168.202.79,192.168.229.1,tcp,0,1970-01-01 00:00:01.331901790,63805,14695,REJ,0.0,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901790,63805,60539,S0,0.0,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901790,63805,30453,REJ,0.01,
192.168.202.79,192.168.229.252,tcp,0,1970-01-01 00:00:01.331901790,63805,27436,REJ,0.01,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901791,63805,12124,REJ,0.01,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901792,63805,26334,REJ,0.01,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901792,63805,16949,REJ,0.04,
192.168.202.79,192.168.229.101,tcp,0,1970-01-01 00:00:01.331901792,63805,45200,REJ,0.03,
192.168.202.79,192.168.229.254,tcp,0,1970-01-01 00:00:01.331901792,63806,40671,S0,0.0,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901792,63805,19492,REJ,0.02,
192.168.202.79,192.168.229.101,tcp,0,1970-01-01 00:00:01.331901792,63805,17267,REJ,0.01,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901793,63805,21164,REJ,0.02,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901793,63805,19744,REJ,0.02,
192.168.202.79,192.168.229.101,tcp,0,1970-01-01 00:00:01.331901793,63805,18242,REJ,0.01,
192.168.202.79,192.168.229.251,tcp,0,1970-01-01 00:00:01.331901793,63805,35290,REJ,0.02,
192.168.202.79,192.168.229.156,tcp,0,1970-01-01 00:00:01.331901793,63805,63588,REJ,0.03,
